balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,," sofort , sofort ",1993,"Die 2-Zimmer Dachgeschoss-Maisonette-Wohnung erstreckt sich über das 1. und 2. Obergeschoss eines sehr charmanten, gepflegten Mehrfamilienhauses in Pullach.

Die Wohnung bietet aufgrund der Dachschrägen und der teilweise großen Raumhöhe eine besonders gemütliche und romantische Wohnatmosphäre. Dank der Ausrichtung nach Süd-Westen und den großen Fensterflächen ist die Wohnung sehr hell. 

Wenn Sie die Wohnung betreten gelangen Sie direkt in das Herzstück der Wohnung, das großzügig geschnittene, helle Wohnzimmer. Von hier haben Sie Zugang auf die nach Westen ausgerichtete, sonnige Dachterrasse, auf der Sie in Zukunft viele Feierabende in der Abendsonne verbringen werden.

Vom Wohnzimmer gelangen Sie zudem in die Küche, das Badezimmer sowie über eine Wendeltreppe in die obere Etage. Hier befindet sich eine Galerie mit Blick ins Wohnzimmer sowie das Schlafzimmer.

Der Wohnung ist ein 9 m² großer Kellerraum sowie ein Tiefgaragenstellplatz zugeordnet. Im Keller gibt es einen Waschraum mit Anschluss für die eigene Waschmaschine.", liegt vor , 1 ,, 50 MBit/s ," 76,37 m² ",, Bedarfsausweis , Dachgeschoss ," 89,95 m² ", 
,," 2 , 2 ",2014,"Eine Wohnung der Extraklasse - mit Materialien, die sind, wonach sie aussehen: Wohnen in Perfektion!
Die elegante und äußerst geschmackvolle Linienführung der Architektur sowie das extravagante Ausstattungskonzept runden das Bild eines in jeder Hinsicht gelungenen Zuhauses im alpinen Chaletstil ab. 
Die hier angebotene Gartenwohnung wurde erst im Jahre 2014 erbaut und befindet sich in der Gemeinde Neuried, das mit seinem beinahe dörflichen Charme, der idealen Anbindung an die City (U-Bahn/Busbahnhof) und den weitläufigen Naherholungsgebieten, wie beispielsweise dem Forstenrieder Park, überzeugt. 
Das Objekt vereint exklusives und repräsentatives Wohnen - ein Maximum an Exklusivität und Lebensqualität vor den Toren Münchens, in unmittelbarer Stadtnähe. 
Im Erdgeschoß befinden sich neben den beiden Schlafzimmern und dem Wellness-Bad der wunderschöne, sonnen- und lichtdurchflutete, offen gestaltete Wohn-/Essbereich mit direktem Zugang auf die Terrasse und in den Garten. Jedes Zimmer im Erdgeschoß hat Zugang zum Garten durch bodentiefe Fenster. Der Wohnbereich ist Dreh- und Angelpunkt der Wohnung und somit Zentrum des Zusammenlebens der Bewohner.
Vom Erdgeschoß aus gelangen Sie über die repräsentative Vollholztreppe in den unteren Bereich der Wohnung. Auffallend schön gestaltet ist hier die Steinkachelfliesenwand – ein Hauch von Gemütlichkeit und Wohlbehagen breitet sich dadurch aus. 
Insgesamt strahlen die vielen Objektdetails eine Atmosphäre von privilegiertem Luxus und alpinem Charme aus. 
Im Souterrain besteht von der Diele aus auch ein direkter Zugang zur Tiefgarage, wo sich trockenen Fußes der eigene Einzelstellplatz erreichen lässt - so haben Sie auch an Regentagen trockene Füße beim Verlassen der Wohnung. Ein weiterer Raum für die praktischen Dinge des Alltags sowie der offiziell dazugehörige Kellerraum der Wohnung befinden sich ebenfalls im Untergeschoß.", liegt vor , 1 Tiefgaragen-Stellplatz ,, 100 MBit/s , 126 m² ,, Bedarfsausweis , Erdgeschosswohnung , 4 , 
,," 2 , 2 ",1988,"Als 100%ige Tochtergesellschaft der Münchner Bank eG bieten wir Ihnen im Alleinauftrag diese helle 2-Zimmer-Wohnung an. Sie befindet sich im 1. Obergeschoss eines Mehrfamilienhauses aus dem Jahr 1988.

Auf rund 53 m² befinden sich ein Wohnzimmer mit Zugang zur Loggia, ein Schlafzimmer, eine offene Küche samt Essbereich, ein Tageslichtbad mit Badewanne und Waschmaschinenanschluss sowie eine Abstellkammer. 

Vor 5 Jahren wurden das Bad saniert und der Boden im Küchen- und Eingangsbereich erneuert. Hier befindet sich jetzt ein pflegeleichter Fliesenboden in Holzdielenoptik.

Die Wohnanlage ist in einem sehr guten Zustand, da die Hausverwaltung in regelmäßigen Abständen kleinere Renovierungen und Schönheitsreparaturen vornimmt. 

Die Wohnung ist gemäß Mietvertrag seit dem 01.09.2013 unbefristet vermietet. Der monatliche Nettomieterlös (inkl. Stellplatz) beträgt EUR 645,- zzgl. EUR 150,- NK-Vorauszahlung.

Im Angebot sind ein Kellerabteil und ein Tiefgaragenstellplatz enthalten.

Ein interessantes Wohnungsangebot! Verpassen Sie nicht die Gelegenheit und vereinbaren Sie am besten sofort einen persönlichen Besichtigungstermin. 

Wir freuen uns auf Sie! ", D ,,, 100 MBit/s ," 52,56 m² ",,, Etagenwohnung , derzeit vermietet , 
,,,,,,,, 100 MBit/s ,,,,,, 929.000 € 
,," Winter 2020 , Winter 2020 ",2020,"In der im Landkreis München gelegenen Gemeinde Höhenkirchen-Siegertsbrunn erstellen wir für Sie in der Zimmerhansenstr. 4 ein neues und modernes Mehrfamilienhaus mit 5 Eigentumswohnungen, ruhig gelegen, mit hochwertiger Grundausstattung, in solider, massiver Ziegelbauweise. Die moderne Ausstattung und die ausschließliche Verwendung hochwertiger Baumaterialien gibt Ihnen die Sicherheit, dass Sie eine Immobilie mit bester Wertbeständigkeit besitzen werden. Die Wohnungen sind hell und lichtdurchflutet konzipiert. Individuelle Wünsche bei der Ausstattung sind je nach Baufortschritt möglich. Zögern Sie nicht lange, wenn Sie in einem maßgeschneiderten Zuhause leben möchten - wir erfüllen Ihre Wünsche gerne.

Wohnung 2 (EG)
Wohnfläche ca. 105,54 m²
Nutzfläche ca. 39,36 m²
mit 2 Terrassen, ca. 104 m² Garten und Kellerabteil
Verkaufspreis 759.700 €
(zzgl. 59.800 € für 2 Tiefgaragenstellplätze und 9.500 € für 1 Außenstellplatz)

Weitere Wohnungen:
Die Wohnungen 1, 3, 4 und 5 sind bereits verkauft.", Gas , 2 ,, 16 MBit/s ," 105,54 m² ",, liegt vor , Erdgeschosswohnung ," 39,36 m² ",
,,,,,,,, 100 MBit/s ,,,,,, 464.900 € 
,," 2 , 2 ",1997,ruhig gelegene 2 - Zimmerwohung mit Südausrichtig im Grünen.  4  Parteien - Stadthaus im 1.OG., Verbrauchsausweis , 1 ,, 100 MBit/s ," 67,39 m² ",, 166 kWh/(m²*a) , Etagenwohnung , 01.12.2019 , 
,,,,,,,,,,,,,, 1.000.000 € 
,," 3 , 3 ",1972,"Charmantes Wohnensemble, im Jahre 1972 errichtet, neues Dach und neue Aufzuganlage im Jahre 2019, geräumiges Treppenhaus mit Lift, praktische Gemeinschaftsräume, Wasch- und Trockenraum, Fahrradstellplätze, modernes Schwimmbad mit erholsamen Wellnessbereich auf der großen Dachterrasse, das Gebäude ist umgeben von gepflegten Grünflächen.", liegt vor , 1 Tiefgaragen-Stellplatz ,, 100 MBit/s ," 92,87 m² ",, Verbrauchsausweis , Erdgeschosswohnung ," 4,5 ", 
,," 2 , 2 ",1994,"Diese im Alleinauftrag angebotene 2-Zimmer-Erdgeschosswohnung mit ca. 75 m² Wohn,- und Nutzfläche befindet sich in einem gepflegten Reihenmittelhaus in ruhiger und familienfreundlicher Wohnlage von Unterhaching.

Durch die Wohnungseingangstür kommen Sie über den Windfang linker Hand in das neu renovierte Tageslichtbad mit Badewanne, WC und Waschbecken. Rechter Hand gelangen Sie in die Küche, welche über alle wünschenswerte elektrischen Geräte verfügt.
Geradeaus über den Flur erreichen Sie den großzügigen Wohn- und Essbereich mit Zugang auf den nach Süden ausgerichteten ca. 36 m²großen Garten mit Terrasse.

Das Untergeschoss erreichen Sie über eine Treppe im Wohnbereich, welches über ein ca. 27 m² großen bewohnbarem Hobbyraum, der als Schlafzimmer mit begehbaren Kleiderschrank genutzt wird verfügt. 

Zusätzlich verfügt das Untergeschoss über einen separatem Kellerabteil mit Waschmaschinenanschluss.

Zur Wohnung gehört ein Duplexstellplatz in einer abschließbaren Garage.", liegt vor , 1 ,, 100 MBit/s ," 48,25 m² ",, Verbrauchsausweis , Erdgeschosswohnung , nach Vereinabrung , 
,," 2 , 2 ",1994,"Die gut vermietete schöne 3.5-Zimmer-Wohnung befindet sich mittem auf einem schönen, sonnigen Südgrundstück in ruhiger Villenlage in Grünwald und eignet sich sehr gut als Kapitalanlage.

Die Galeriewohnung verfügt über einen sehr guten Grundriss. Über den Flur gelangen Sie links in die schöne Einbauküche und die beiden Schlafzimmer und rechts direkt in den hellen Wohn- und Essbereich, welcher durch die großen Fensterfronten und dem charmanten großen Balkon für viel Helligkeit und Wohnqualität sorgt. Ebenfalls im Flur befindet sich die Treppe zur Galerie, die sich optimal als kleines Büro oder zweites Wohnzimmer nutzen lässt. Das große Badezimmer ist gut ausgestattet mit Badewanne, WC, Waschbecken und hochwertigen Fließen. Das Schlafzimmer ist ebenfalls geräumig und bietet unzählige Gestaltungsmöglichkeiten.", liegt vor , 2 Tiefgaragen-Stellplätze ,, 50 MBit/s , 108 m² ,, Verbrauchsausweis , Dachgeschoss ," 3,5 ", 
,," 1 , 1 ",1993,"Sehr geehrte Immobilieninteressentin,
sehr geehrter Immobilieninteressent,

die Wohnung, von der wir hier sprechen, liegt in der Südstraße, in einem 1993 errichteten Gebäude, in ruhiger Lage von Unterhaching. Sie gefällt uns selbst außerordentlich, und wir freuen uns schon, Sie Ihnen zeigen zu dürfen. 
Ob renditestarke Kapitalanlage oder Vorsorge fürs Alter, hier finden Sie echte Wohlfühlräume mit viel Charme und Gemütlichkeit. Diese attraktive Wohnung mit einer anrechenbaren Wohnfläche von ca. 65 m² (Bodenfläche ca. 75,8 m² inkl. Balkon) und extra Stauraum mit ca. zusätzlichen 15 m² Nutzfläche im Dachgeschoss, besticht mit ihrer gelungenen Wohnkomposition. 
Überaus sympathisch und einladend, so empfängt Sie Ihre neue, helle und gut konzipierte Wohnung schon beim ersten Anblick. Dieses Schmuckstück liegt im Dachgeschoss eines zweistöckigen Hauses mit nur ca. sechs Wohneinheiten. Lassen Sie sich verwöhnen von dem durchdachten Grundriss mit einer Diele, einem Schlafzimmer, einem geräumigen Tageslichtbad mit Badewanne und Dusche, einer separaten Küche mit Fenster und einem Wohnzimmer. Vom Wohnzimmer aus erreichen Sie den südlich ausgerichteten Balkon. Hier ist die Sonne zu Hause, sie gastiert von morgens bis in die frühen Abendstunden. Man kann seine Freizeit genießen sowie den Abstand vom Alltag und einen gemütlichen Feierabend erleben.
Diese Wohnung bietet viel Stauraum, über der Wohnung liegt ein Speicher, der nur für diese Wohnung zugänglich ist. Er ist über eine Auszugstreppe in der Diele erreichbar. Sie hätten lieber einen Sichtdachstuhl? Die eingezogene Decke kann leicht entfernt werden. Ein praktisches Kellerabteil (ca. 5,5 m²) aus einer Holzlattenkonstruktion, mit Strom und Licht, gehört zu der Wohnung. 
Es besteht ein Mitbenutzungsrecht hinsichtlich der gemeinschaftlichen Anlagen, wie z. B. der Waschküche mit Stellplatz für die eigene Waschmaschine, Trockenraum und Fahrradabstellmöglichkeit. Ein Tiefgaragenstellplatz (Duplex-Parker, oben) steht zur Verfügung.", Verbrauchsausweis , 1 Duplex-Stellplatz ,, 100 MBit/s , 65 m² ,," 86,43 kWh/(m²*a) ", Dachgeschoss , 2 , 
,," sofort , sofort ",1985,"Diese excellent geschnittene Dachterrassenwohnung liegt in Zentrum einer gepflegten Wohnanlage mit vielen grünen Ruhebereich, lauschigen Passagen und einladenden Ladenlokalen.", Zentralheizung , 2 ,, 100 MBit/s , 100 m² ,, Gas , Dachgeschoss , 125 m² , 
,," 2 , 2 ", zuletzt 2017 ,"Sehr gut aufgeteilte 2-Zimmerwohnung mit großem sonnigen Balkon in einem kleinen gepflegten Mehrfamilienhaus.
Das Objekt befindet sich in absolut ruhiger Lage im alten Ortskern von Unterhaching. 
Die Wohnung ist größtenteils neu renoviert und verfügt über ein modernes saniertes Badezimmer. Alle Zimmertüren sind ebenfalls edel erneuert worden. Insgesamt ist alles in einem sehr guten Zustand und die Wohnung kann sofort bezogen werden.", Öl , 1 ,, 100 MBit/s , 61 m² ,, liegt vor , Etagenwohnung , sofort , 
,," sofort , sofort ",1994,"Die angebotene Wohnung befindet sich im 1. Obergeschoss eines repräsentativen Mehrfamilienhauses mit Villencharakter in Grünwald.

Das Haus besteht aus nur 10 Wohnparteien und ist sehr gepflegt.

Die Wohnung ist ein absolutes Schmuckstück in Toplage auf großem eingewachsenem Parkgrundstück!

Nicht vermietet und demnach ab sofort bezugsfrei!", liegt vor , 2 ,, 100 MBit/s ," 113,65 m² ",, Verbrauchsausweis , Etagenwohnung ," 8,65 m² ", 
,," 3 , 3 ",1968,"Erstmalig und im exklusiven Alleinauftrag dürfen wir Ihnen diese ruhige, sehr gute Kapitalanlage mit  TG und kurzen Wegen zur Lohhofer S-Bahn empfehlen. 
3 Zimmer sehr konservativ ausgestattet, im 3. OG, gepflegt und überaus gemütlich, werden bewohnt durch eine sympathische Eigentümerin und TOP-Zuverlässige künftige Mieterin. (Kein Nießbrauch!)
Ein herrlicher Balkon - ausgerichtet nach Süd-Ost rundet das Angebot zusammen mit einem TG-Einzelstellplatz ab. 
Dieses Angebot ist ausschließlich für Anleger gedacht, die die Dame in ein unbefristetes Mietverhältnis ohne Eigenbedarfskündigungsrecht übernehmen. 
Die Eigentümerin/Mieterin zahlt dem Investor künftig monatlich für Ihre Wohnung eine Kaltmiete von monatlich 1400 .- € + Nebenkosten. 

Freuen Sie sich auf eine herrliche Rendite in guter Lage von Unterschleißheim.

Eine interessante Besichtigung wartet auf Sie.", Zentralheizung , 1 ,, 50 MBit/s ," 74,1 m² ",, Gas , Etagenwohnung , sofort , 
