balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 51,3 m² ",,, Etagenwohnung , 2 , 
,," 1 , 1 ",1971,"Zentral gelegene 2,5 Zimmer Penthouse Wohnung mit dreiseitiger Dachterrasse und direkter Nähe zum Perlacher Forst. 
Hier können Sie sofort selbst einziehen oder vermieten. Über das helle Treppenhaus gelangen Sie bequem in das 2. und oberste Geschoss des gepflegten Mehrfamilienhauses mit insgesamt 24 Wohnungen. Essdiele und Flur bilden eine Einheit. Wohnzimmer und Schlafzimmer haben einen direkten Zugang zur Dachterrasse die sich über Süden, Westen und Nordseite erstreckt. Die Wohnung wurde 2014 außen komplett neu gedämmt. Es liegt kein Instandhaltungsstau vor, es sind ausreichend Instandhaltungsrücklagen vorhanden und aus den Protokollen gehen keine anstehenden Sanierungsmaßnahmen hervor.  Zur Wohnung gehört noch eine Einzelgarage der zusätzlich zum Kaufpreis mit 20.000,-€ berechnet wird. Der Kaufpreis setzt sich zusammen wie folgt: Wohnung 575.000 Euro + Einzelgarage 20.000 Euro = Gesamtkaufpreis 595.000 Euro.
Der Anteil an der Instandhaltungsrücklage beträgt für diese Wohnung insgesamt € 4.900,89 die Gesamtsumme der Instandhaltungsrücklage der gesamten Wohnanlage beträgt € 75.0415,60 (Stand 31.12.2018). 
Die Wohnung ist frei zum Selbstbezug.",,,,," 97,75 m² ",," 140,7 kWh/(m²*a) ", Penthouse ," 2,5 ", 
,," 2 , 2 ",1988,"Als 100%ige Tochtergesellschaft der Münchner Bank eG bieten wir Ihnen im Alleinauftrag diese helle 2-Zimmer-Wohnung an. Sie befindet sich im 1. Obergeschoss eines Mehrfamilienhauses aus dem Jahr 1988.

Auf rund 53 m² befinden sich ein Wohnzimmer mit Zugang zur Loggia, ein Schlafzimmer, eine offene Küche samt Essbereich, ein Tageslichtbad mit Badewanne und Waschmaschinenanschluss sowie eine Abstellkammer. 

Vor 5 Jahren wurden das Bad saniert und der Boden im Küchen- und Eingangsbereich erneuert. Hier befindet sich jetzt ein pflegeleichter Fliesenboden in Holzdielenoptik.

Die Wohnanlage ist in einem sehr guten Zustand, da die Hausverwaltung in regelmäßigen Abständen kleinere Renovierungen und Schönheitsreparaturen vornimmt. 

Die Wohnung ist gemäß Mietvertrag seit dem 01.09.2013 unbefristet vermietet. Der monatliche Nettomieterlös (inkl. Stellplatz) beträgt EUR 645,- zzgl. EUR 150,- NK-Vorauszahlung.

Im Angebot sind ein Kellerabteil und ein Tiefgaragenstellplatz enthalten.

Ein interessantes Wohnungsangebot! Verpassen Sie nicht die Gelegenheit und vereinbaren Sie am besten sofort einen persönlichen Besichtigungstermin. 

Wir freuen uns auf Sie! ",,,,," 52,56 m² ",,, Etagenwohnung , derzeit vermietet , 
,," 2 , 2 ",2014,"Eine Wohnung der Extraklasse - mit Materialien, die sind, wonach sie aussehen: Wohnen in Perfektion!
Die elegante und äußerst geschmackvolle Linienführung der Architektur sowie das extravagante Ausstattungskonzept runden das Bild eines in jeder Hinsicht gelungenen Zuhauses im alpinen Chaletstil ab. 
Die hier angebotene Gartenwohnung wurde erst im Jahre 2014 erbaut und befindet sich in der Gemeinde Neuried, das mit seinem beinahe dörflichen Charme, der idealen Anbindung an die City (U-Bahn/Busbahnhof) und den weitläufigen Naherholungsgebieten, wie beispielsweise dem Forstenrieder Park, überzeugt. 
Das Objekt vereint exklusives und repräsentatives Wohnen - ein Maximum an Exklusivität und Lebensqualität vor den Toren Münchens, in unmittelbarer Stadtnähe. 
Im Erdgeschoß befinden sich neben den beiden Schlafzimmern und dem Wellness-Bad der wunderschöne, sonnen- und lichtdurchflutete, offen gestaltete Wohn-/Essbereich mit direktem Zugang auf die Terrasse und in den Garten. Jedes Zimmer im Erdgeschoß hat Zugang zum Garten durch bodentiefe Fenster. Der Wohnbereich ist Dreh- und Angelpunkt der Wohnung und somit Zentrum des Zusammenlebens der Bewohner.
Vom Erdgeschoß aus gelangen Sie über die repräsentative Vollholztreppe in den unteren Bereich der Wohnung. Auffallend schön gestaltet ist hier die Steinkachelfliesenwand – ein Hauch von Gemütlichkeit und Wohlbehagen breitet sich dadurch aus. 
Insgesamt strahlen die vielen Objektdetails eine Atmosphäre von privilegiertem Luxus und alpinem Charme aus. 
Im Souterrain besteht von der Diele aus auch ein direkter Zugang zur Tiefgarage, wo sich trockenen Fußes der eigene Einzelstellplatz erreichen lässt - so haben Sie auch an Regentagen trockene Füße beim Verlassen der Wohnung. Ein weiterer Raum für die praktischen Dinge des Alltags sowie der offiziell dazugehörige Kellerraum der Wohnung befinden sich ebenfalls im Untergeschoß.",,,,, 126 m² ,, Bedarfsausweis , Erdgeschosswohnung , 4 , 
,,,,,,,,,,,,,, 698.000 € 
,,,,,,,,,,,,,, 929.000 € 
,,,,,,,,,,,,,, 464.900 € 
,," 2 , 2 ",2013,"Sehr geehrte Immobilieninteressentin,
sehr geehrter Immobilieninteressent,

die Wohnung, von der wir hier sprechen, liegt auf der Stumpfwiese, mitten in Unterhaching, in der Walter-Paetzmann-Straße 30. Sie gefällt uns selbst außerordentlich, und wir freuen uns schon, Sie Ihnen zeigen zu dürfen. 
Ob renditestarke Kapitalanlage oder Vorsorge fürs Alter, hier finden Sie echte Wohlfühlräume mit viel Charme und Gemütlichkeit. Diese attraktive, altersgerechte Wohnung mit einer Wohnfläche von ca. 57,99 m², besticht mit ihrer gelungenen Wohnkomposition. Überaus sympathisch und einladend, so empfängt Sie Ihre neue und gut konzipierte Immobilie schon beim ersten Anblick. Dieses Schmuckstück liegt im ersten Obergeschoss eines dreistöckigen Hauses mit nur ca. 11 Wohneinheiten. Ein behindertengerechter Personenaufzug ist vorhanden. Lassen Sie sich verwöhnen von dem durchdachten Grundriss mit einer geräumigen Diele, einem Tageslichtbad, einem Wohnzimmer, einer offenen Küche mit Fenster und dem Schlafzimmer. Vom Wohnzimmer aus erreichen Sie den westlich ausgerichteten, großen Balkon mit ca. 9,13 m² (davon 1/4 gemäß WoFlV angerechnet). Hier genießen Sie Ruhe und finden Ihren wohlverdienten Abstand zum Alltag und können bestens entspannen.
Ein praktisches Kellerabteil, mit Strom und Licht, gehört zu der Wohnung.  Ein fester Kfz-Außenstellplatz mit Stromanschluss steht zur Verfügung. Es besteht ein Mitbenutzungsrecht hinsichtlich der gemeinschaftlichen Anlagen, wie z. B. Aufzug und Fahrradabstellraum.
Die Beheizung der Wohnung erfolgt über eine zentrale Heizungsanlage, welche mittels Fernwärme betrieben wird. Der Energiebedarfswert liegt bei 65 kWh/(m²*a). Der Energieausweis vom 04.11.2013 ist gültig bis 04.11.2023. Die WEG besteht aus ca. 24 Seniorenwohnungen, fünf Wohnappartements, ca. 65 Pflegeeinheiten und ca. 15 oberirdischen Kfz-Außenstellplätzen. Das Hausgeld beträgt derzeit monatlich ca. € 176,00 inkl. der Vorauszahlung für Heizung und Warmwasser. Wir weisen darauf hin, dass die Wohnung wenig genutzt wurde und sich die verbrauchsabhängigen Nebenkosten bei voller Nutzung erhöhen können.",,,,," 57,99 m² ",, liegt vor , Etagenwohnung , sofort möglich , 
,," 2 , 2 ",1997,ruhig gelegene 2 - Zimmerwohung mit Südausrichtig im Grünen.  4  Parteien - Stadthaus im 1.OG.,,,,," 67,39 m² ",, 166 kWh/(m²*a) , Etagenwohnung , 01.12.2019 , 
,," 1 Tiefgaragen-Stellplatz , 1 Tiefgaragen-Stellplatz ",1981,"Sehr gepflegte und gut geschnittene 2-Zimmer Wohnung im 2.OG einer sehr gepflegten Wohneinheit in absolut zentraler Lage von Unterschleißheim, Raiffeisenstraße !

Komfortable Raumaufteilung - schöne Wohnung - ideales Wohnumfeld !  

Die Wohnung verfügt über ein schönes Wohn- / Esszimmer mit Zugang zum großzügigen Balkon mit Blick in den Innenhof (Süd- / Westausrichtung), einer Küche inkl. Einbauten, sowie ein komfortables Schlafzimmer und einem Badezimmer mit Dusche. 
Der durchdachte Grundriss und die großen Fensterflächen sorgen für ein angenehmes Raumklima. 
Die Wohnung ist seit 2015 zu einem Kaltmietpreis in Höhe von 630,-- €, sehr zuverlässig vermietet

Außerdem verfügt das Objekt über einen Abstellkeller, sowie einen Tiefgaragen-Einzelstellplatz.

Die genaue Raumaufteilung können Sie den beigefügten Grundrissplan sehr gut entnehmen.",,,,, 52 m² ,, liegt vor , Etagenwohnung , 2 , 
,," 5 , 5 ",,"Hotspot Grünwald. 
Ruhig, naturnah und in bester Nachbarschaft gelegen, wohnen Sie hier in einem Zweifamilienhaus im Herzen von Grünwald. 

Ein repräsentativer Eingangsbereich mit Windfang und Garderobenmöglichkeit verschafft Ihnen über eine schöne Holztreppe den Zugang in eine wunderbare Wohnlandschaft. Hier erwartet Sie absoluter Komfort auf drei Ebenen mit insgesamt ca. 240m² Wohnfläche. 

Ein heller Wohn- und Essbereich mit offener, luxuriöser Einbauküche samt Elektrogeräten steht Ihnen im 1. Obergeschoss zur Verfügung. Weiter finden Sie hier den Masterbereich mit Schlaf- und Ankleidezimmer, ein tolles Duschbad und ein Gäste-WC. 

Im Dachgeschoss erwartet Sie ein offener Galeriebereich. Zwei weitere Zimmer mit einer Fläche von ca. 21 und ca. 25m² begrüßen Sie mit einem stimmungsvollen Raumgefühl. Die bodentiefen Fensterflächen sorgen für helle Räume in der gesamten Wohnung.
Insgesamt lässt die großzügige Grundrissgestaltung Raum und Ideen für vielfältige Individualisierungs-Möglichkeiten. 

Der Ausbaustandard mit Echtholzböden, großzügigen Fensterfronten, modernster technischer Ausstattung und exklusiven Ausstattungsdetails sind nur wenige der vielen Vorzüge, die diese Wohnung zu bieten hat. 

Es ist eine Einzelgarage mit Vorstellplatz vorhanden, welche nicht im Kaufpreis enthalten ist und für 30.000,00 EUR zzgl. erworben werden kann. Zusätzlich steht Ihnen ein Abstellraum im Untergeschoss sowie eine weitere Abstellfläche in der Garage und ein Gartenhäuschen zur Verfügung.

Energiedaten: Verbrauch: 66,00 kWh, Baujahr Anlagentechnik 2017, 
Energieeffizienzklasse B",,,,, 240 m² ,,, Maisonette , nach Vereinbarung , 
,," Kein Bezug möglich , Kein Bezug möglich ",1972,"Diese großzügige, absolut ruhige und nach Süden ausgerichtete Etagenwohnung befindet sich in einer gepflegten Wohnanlage in Taufkirchen und wurde im Jahr 1972 erbaut. Die Eigentumswohnung liegt im 2. Obergeschoss und ist bequem mit dem Aufzug erreichbar. Hinter der Wohnungstür empfängt Sie der Flur mit ausreichend Platz für einen praktischen Garderobenschrank. Von hier gelangen Sie in alle weiteren Räume. Der gesamte Wohnbereich erstreckt sich auf insgesamt ca. 102 m² Wohnfläche. Diese verteilen sich auf zwei Schlafzimmer, ein Badezimmer mit Wanne, ein separates WC und eine Küche. Highlight der Wohnung ist der große Wohn-/Essbereich mit Zugang zur weitläufigen Süd-Loggia u. Ost-Loggia mit herrlichem Blick in die parkähnlich angelegten Außenanlagen. Große Fensterfronten sorgen für eine helle und freundliche Wohnatmosphäre. Die Süd-Loggia ist ebenfalls vom Schlafzimmer begehbar. Die Wohnung wird aktuell als 3-Zi.-Whg. genutzt, da das vierte Zimmer zum Wohnbereich geöffnet wurde. Ohne größeren  Aufwand kann die Wohnung wieder in eine 4-Zi.-Whg. umgewandelt werden. Zur Wohnung gehören außerdem ein Kfz-Einzelstellplatz (kein Duplex) in der Tiefgarage und ein separates Kellerabteil. Überzeugen Sie sich von diesem attraktiven Objekt bei einer Besichtigung!",,,,," 101,62 m² ",," 142,7 kWh/(m²*a) ", Etagenwohnung , 5 m² , 
,," 3 , 3 ",,"Diese helle und gemütliche Dachgeschosswohnung bietet Ihnen viel Privatsphäre. Sie liegt ruhig im 3. Obergeschoss (ohne Aufzug) einer gepflegten Wohnanlage mit großzügigen Grünanlagen und Feldern im direkten Umfeld. 

Lassen Sie sich von dem lichtdurchfluteten Wohn-Esszimmer mit Süd-Westausrichtung begeistern. Durch den Schnitt des Raumes in L-Form ergänzt durch einen großen Erker, lässt sich dieser Raum gut in unterschieldliche Nutzungsbereiche unterteilen. Von hier gelangen Sie auch direkt in die Küche, die mit einer modernen Einbauküche ausgestattet ist (im Kaufpreis enthalten).

Die Dachschrägen geben der Wohnung Ihren Charme, dennoch verfügt die Wohnung über ausreichend Stellfläche für Schränke und bietet Ihnen aufgrund eingebauter Schränke bereits speziell für die Wohnung konzipierte Stauräume.

Auf der nahezu quadratisch geschnittenen und überdachten West-Dachterrasse (fast 7 m²) können Sie im Sommer die Abendsonne mit Blick ins Grüne genießen. 

Das zeitlos gestaltete Bad bietet Ihnen eine Dusche und eine Badewanne. Hier steht Ihnen auch ein Waschmaschinenanschluss zur Verfügung.

Das Schlafzimmer und das derzeitige Kinderzimmer sind nach Osten ausgerichtet und verfügen jeweils über eine Dachgaube. Im Schlafzimmer wurde ein maßgefertigter Schrank eingebaut.

Zur  Wohnung gehört ein Kellerabteil und es besteht die Möglichkeit einen Tiefgarageneinzelstellplatz zum Preis von € 20.000 zu kaufen.

In der Wohnanlage steht zur gemeinsamen Nutzung ein geräumiger Fahrradkeller, ein Wasch-/Trockenraum und ein gepflegter Spielplatz zur Verfügung.",,,,," 71,2 m² ",,, Dachgeschoss , ab sofort möglich , 
